mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,search_type
1.8563411712646485,0.0319816747544698,0.05381312370300293,0.003643239005652771,True,entropy,15,,5,8,321,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 321}",0.7777164920022063,0.7412574404761905,0.7353050595238095,0.8240327380952381,0.7957589285714286,0.7748141317337746,0.03333645973078764,38,0.991455078125,0.9877826847955861,0.9853832690011707,0.9840038947038982,0.9869133312468847,0.9871076515745079,0.0025298359560373346,RandomizedSearchCV
3.747077703475952,0.11096986995180104,0.2174398422241211,0.03437033192598075,True,gini,28,log2,8,4,1532,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 28, 'model__max_features': 'log2', 'model__min_samples_leaf': 8, 'model__min_samples_split': 4, 'model__n_estimators': 1532}",0.7894833609119323,0.7496279761904763,0.7412574404761904,0.8465401785714285,0.7957589285714285,0.7845335769442912,0.037647184429691706,17,0.911865234375,0.914907674653128,0.9098654240706611,0.8999547936154675,0.9119286898262451,0.9097043633081003,0.005133643753536483,RandomizedSearchCV
1.6284579277038573,0.04735100908110638,0.10945091247558594,0.022661589639650703,False,entropy,10,sqrt,5,2,659,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 659}",0.7867255010112153,0.7509300595238095,0.7434895833333334,0.8387276785714285,0.7924107142857142,0.7824567073451002,0.034047300430101735,25,0.985595703125,0.9843864102653266,0.9794600734893533,0.9787298165084444,0.9824970152194827,0.9821338037215215,0.0026805547416328774,RandomizedSearchCV
3.4970256328582763,0.14443903745921266,0.17587018013000488,0.021662803423939038,False,gini,29,sqrt,3,13,1467,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 13, 'model__n_estimators': 1467}",0.7898510755653612,0.7529761904761904,0.7464657738095238,0.8439360119047619,0.7933407738095238,0.7853139651130722,0.03486107581580237,11,0.9970935639880952,0.9959082426307797,0.9919787645906504,0.9940883958688319,0.995421404643507,0.9948980743443728,0.0017488532252010031,RandomizedSearchCV
9.319464683532715,0.46165797805614484,0.1685347080230713,0.017058794840839605,False,gini,23,,9,8,1497,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 23, 'model__max_features': None, 'model__min_samples_leaf': 9, 'model__min_samples_split': 8, 'model__n_estimators': 1497}",0.6904761904761905,0.5915178571428571,0.6256510416666666,0.742001488095238,0.7257254464285714,0.6750744047619047,0.05780370745596174,49,0.9026692708333334,0.9122880226263751,0.9124734847167646,0.8952718758331304,0.9172897033765693,0.9079984714772346,0.007938760595379688,RandomizedSearchCV
3.533518648147583,0.0720212751915324,0.19286398887634276,0.022493505702059362,False,entropy,22,log2,5,3,1563,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 22, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 3, 'model__n_estimators': 1563}",0.7918735061592205,0.7468377976190476,0.7457217261904762,0.8482142857142858,0.7903645833333333,0.7846023798032726,0.03760429692081731,16,0.9874674479166667,0.9849659792977943,0.9800860080444183,0.9813146943932493,0.9848152913493526,0.9837298842002962,0.00267530923620618,RandomizedSearchCV
3.4479580879211427,0.06729921078503061,0.1779024600982666,0.055668365561305895,True,entropy,16,log2,3,15,1304,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__min_samples_split': 15, 'model__n_estimators': 1304}",0.7986762272476557,0.7529761904761906,0.751860119047619,0.8547247023809524,0.7974330357142858,0.7911340549733408,0.03778570265269658,1,0.962774367559524,0.9620730025153296,0.9564511829003952,0.955245679312863,0.9622005077024725,0.9597489479981169,0.003216184739621804,RandomizedSearchCV
4.31690354347229,0.08018666850120733,0.17913398742675782,0.014039330881279559,True,entropy,6,log2,6,11,1700,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 11, 'model__n_estimators': 1700}",0.7949990807133664,0.7453497023809524,0.7429315476190476,0.8487723214285715,0.7920386904761905,0.7848182685236257,0.03887973614746133,15,0.9042503720238095,0.907373277231051,0.9019369197065061,0.8909366994702739,0.9042667872170255,0.9017528111297333,0.005677494038413293,RandomizedSearchCV
2.1192139625549316,0.07553377127380363,0.11821956634521484,0.005503784911286312,False,entropy,6,log2,4,15,1015,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15, 'model__n_estimators': 1015}",0.7972053686339401,0.7511160714285714,0.7356770833333334,0.8357514880952381,0.7872023809523809,0.7813904784886928,0.03534193697427617,28,0.9321637834821429,0.9304285333426064,0.9258731207474122,0.9181996267575431,0.9323411111497489,0.9278012350958906,0.005337668155811448,RandomizedSearchCV
3.2454423904418945,0.12345041726223034,0.16231164932250977,0.10719792782747405,True,entropy,29,,5,17,537,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 29, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 17, 'model__n_estimators': 537}",0.7745909174480603,0.7475818452380952,0.7315848214285714,0.8197544642857143,0.7996651785714286,0.774635445394374,0.03239589139576319,39,0.9736560639880953,0.9698276361697441,0.9650983528648098,0.9644608269290955,0.9683323480659782,0.9682750456035446,0.003346903665962679,RandomizedSearchCV
